Stage,Name,Client_Revenue,Region,Client_Domain,Existing_Customer,TCS_Revenue,TCS_Domain,TimeStamp,ID
Stage 1,Abm Industries,104155.17842775694,north america,Energy & Utilities,1,4671.925488423131,Application development and maintenance,2021-05-19 20:20:14.998724,7
Stage 1,Abx Air,95200.0,europe,Retail & Distribution,1,16969.379267716497,Application development and maintenance,2021-04-25 20:20:14.998724,8
Stage 7,Abx Air,95200.0,europe,Retail & Distribution,1,16969.379267716497,Application development and maintenance,2021-04-29 20:20:14.998724,8
Stage 1,Ac Lens,49619.02322499841,north america,BFSI,1,14174.0,Asset leverage solutions,2020-02-01 20:20:14.998724,9
Stage 2,Ac Lens,49619.02322499841,north america,BFSI,1,14174.0,Asset leverage solutions,2020-07-23 20:20:14.998724,9
Stage 9,Ac Lens,49619.02322499841,north america,BFSI,1,14174.0,Asset leverage solutions,2020-11-19 20:20:14.998724,9
Stage 1,Access Asia,193929.18275650474,north america,Hi-Tech,1,18598.394658220477,Cognitive Business Operations,2020-10-30 20:20:14.998724,10
Stage 9,Access Asia,193929.18275650474,north america,Hi-Tech,1,18598.394658220477,Cognitive Business Operations,2020-11-27 20:20:14.998724,10
Stage 1,Acco Brands,271731.973087218,north america,BFSI,1,13955.57382521399,Application development and maintenance,2019-06-07 20:20:14.998724,11
Stage 2,Acco Brands,271731.973087218,north america,BFSI,1,13955.57382521399,Application development and maintenance,2019-06-10 20:20:14.998724,11
Stage 9,Acco Brands,271731.973087218,north america,BFSI,1,13955.57382521399,Application development and maintenance,2019-12-16 20:20:14.998724,11
Stage 1,Accord Investments,247890.2723791217,north america,BFSI,1,13767.0,Cognitive Business Operations,2021-03-15 20:20:14.998724,12
Stage 9,Accord Investments,247890.2723791217,north america,BFSI,1,13767.0,Cognitive Business Operations,2021-03-31 20:20:14.998724,12
Stage 1,Accuquote,114472.0,north america,Energy & Utilities,1,15042.224341635136,Business process outsourcing,2020-10-18 20:20:14.998724,13
Stage 9,Accuquote,114472.0,north america,Energy & Utilities,1,15042.224341635136,Business process outsourcing,2021-03-18 20:20:14.998724,13
Stage 1,Ace Hardware,125527.0,north america,Retail & Distribution,1,6659.0,Application development and maintenance,2020-07-15 20:20:14.998724,14
Stage 2,Ace Hardware,125527.0,north america,Retail & Distribution,1,6659.0,Application development and maintenance,2020-08-16 20:20:14.998724,14
Stage 3,Ace Hardware,125527.0,north america,Retail & Distribution,1,6659.0,Application development and maintenance,2020-10-05 20:20:14.998724,14
Stage 4,Ace Hardware,125527.0,north america,Retail & Distribution,1,6659.0,Application development and maintenance,2021-05-18 20:20:14.998724,14
Stage 11,Ace Hardware,125527.0,north america,Retail & Distribution,1,6659.0,Application development and maintenance,2021-09-20 20:20:14.998724,14
Stage 1,Acme Brick Company,60595.54593609359,north america,BFSI,0,22790.983661690894,Automation and AI,2018-09-24 20:20:14.998724,15
Stage 9,Acme Brick Company,60595.54593609359,north america,BFSI,0,22790.983661690894,Automation and AI,2018-11-07 20:20:14.998724,15
Stage 1,Acn Inc.,61534.0,north america,Retail & Distribution,1,6602.0,Asset leverage solutions,2021-01-30 20:20:14.998724,16
Stage 9,Acn Inc.,61534.0,north america,Retail & Distribution,1,6602.0,Asset leverage solutions,2021-02-08 20:20:14.998724,16
Stage 1,Activision Blizzard,204037.36159054498,north america,BFSI,1,4212.0,IT infrastructure services,2020-01-13 20:20:14.998724,17
Stage 9,Activision Blizzard,204037.36159054498,north america,BFSI,1,4212.0,IT infrastructure services,2020-04-28 20:20:14.998724,17
Stage 1,Acuity Brands,61659.988932927175,north america,BFSI,0,14186.0,Enterprise solution,2021-01-06 20:20:14.998724,18
Stage 2,Acuity Brands,61659.988932927175,north america,BFSI,0,14186.0,Enterprise solution,2021-03-31 20:20:14.998724,18
Stage 4,Acuity Brands,61659.988932927175,north america,BFSI,0,14186.0,Enterprise solution,2021-06-21 20:20:14.998724,18
Stage 11,Acuity Brands,61659.988932927175,north america,BFSI,0,14186.0,Enterprise solution,2021-09-22 20:20:14.998724,18
Stage 1,Acuserv,108672.0,asia-pacific,Telecom,1,22324.55595671408,Assurance services,2021-04-09 20:20:14.998724,19
Stage 3,Acuserv,108672.0,asia-pacific,Telecom,1,22324.55595671408,Assurance services,2021-04-13 20:20:14.998724,19
Stage 4,Acuserv,108672.0,asia-pacific,Telecom,1,22324.55595671408,Assurance services,2021-04-13 20:20:14.998724,19
Stage 12,Acuserv,108672.0,asia-pacific,Telecom,1,22324.55595671408,Assurance services,2021-05-25 20:20:14.998724,19
Stage 1,Adapt,81298.93087337374,north america,BFSI,1,6160.0,Assurance services,2021-03-03 20:20:14.998724,20
Stage 4,Adapt,81298.93087337374,north america,BFSI,1,6160.0,Assurance services,2021-05-22 20:20:14.998724,20
Stage 5,Adapt,81298.93087337374,north america,BFSI,1,6160.0,Assurance services,2021-07-06 20:20:14.998724,20
Stage 6,Adapt,81298.93087337374,north america,BFSI,1,6160.0,Assurance services,2021-07-19 20:20:14.998724,20
Stage 12,Adapt,81298.93087337374,north america,BFSI,1,6160.0,Assurance services,2021-08-17 20:20:14.998724,20
Stage 1,Adaptabiz,145196.97248129436,north america,Manufacturing,0,14630.0,Cognitive Business Operations,2020-06-10 20:20:14.998724,21
Stage 9,Adaptabiz,145196.97248129436,north america,Manufacturing,0,14630.0,Cognitive Business Operations,2020-06-16 20:20:14.998724,21
Stage 1,Adaptas,236866.23124180673,north america,BFSI,1,25587.536292209556,Automation and AI,2018-11-24 20:20:14.998724,22
Stage 9,Adaptas,236866.23124180673,north america,BFSI,1,25587.536292209556,Automation and AI,2018-11-25 20:20:14.998724,22
Stage 1,Adaptaz,237878.12136942812,north america,BFSI,0,14307.669279224874,Application development and maintenance,2021-02-28 20:20:14.998724,23
Stage 9,Adaptaz,237878.12136942812,north america,BFSI,0,14307.669279224874,Application development and maintenance,2021-05-27 20:20:14.998724,23
Stage 1,Adaptec,221782.28515395118,others,Retail & Distribution,1,24240.93598472556,Application development and maintenance,2020-01-16 20:20:14.998724,24
Stage 9,Adaptec,221782.28515395118,others,Retail & Distribution,1,24240.93598472556,Application development and maintenance,2020-04-15 20:20:14.998724,24
Stage 1,Adc Telecommunications,40251.603669383425,middle east and africa,BFSI,0,23636.295554277745,IT infrastructure services,2020-07-17 20:20:14.998724,25
Stage 9,Adc Telecommunications,40251.603669383425,middle east and africa,BFSI,0,23636.295554277745,IT infrastructure services,2020-12-21 20:20:14.998724,25
Stage 1,Adobe Systems Inc.,63023.0,middle east and africa,Hi-Tech,1,13647.512667755642,Business process outsourcing,2019-12-16 20:20:14.998724,26
Stage 9,Adobe Systems Inc.,63023.0,middle east and africa,Hi-Tech,1,13647.512667755642,Business process outsourcing,2019-12-18 20:20:14.998724,26
Stage 1,Advance Auto Parts,201138.69094054977,north america,Media,0,4008.0,Application development and maintenance,2020-12-15 20:20:14.998724,27
Stage 2,Advance Auto Parts,201138.69094054977,north america,Media,0,4008.0,Application development and maintenance,2021-05-13 20:20:14.998724,27
Stage 3,Advance Auto Parts,201138.69094054977,north america,Media,0,4008.0,Application development and maintenance,2021-07-27 20:20:14.998724,27
Stage 9,Advance Auto Parts,201138.69094054977,north america,Media,0,4008.0,Application development and maintenance,2021-09-23 20:20:14.998724,27
Stage 1,Advanced Micro Devices,223223.09421187738,north america,Healthcare,1,5541.291077566846,Application development and maintenance,2018-11-03 20:20:14.998724,28
Stage 1,Advanced Micro Devices,247906.0905848064,india,Retail & Distribution,1,20054.95902306461,Application development and maintenance,2021-02-07 20:20:14.998724,28
Stage 1,Advanced Micro Devices,223223.09421187738,north america,Healthcare,1,20054.95902306461,Application development and maintenance,2021-02-18 20:20:14.998724,28
Stage 1,Advanced Micro Devices,247906.0905848064,india,Retail & Distribution,1,5541.291077566846,Application development and maintenance,2021-03-02 20:20:14.998724,28
Stage 9,Advanced Micro Devices,223223.09421187738,north america,Healthcare,1,20054.95902306461,Application development and maintenance,2021-03-11 20:20:14.998724,28
Stage 9,Advanced Micro Devices,223223.09421187738,north america,Healthcare,1,5541.291077566846,Application development and maintenance,2021-03-11 20:20:14.998724,28
Stage 9,Advanced Micro Devices,247906.0905848064,india,Retail & Distribution,1,20054.95902306461,Application development and maintenance,2021-03-11 20:20:14.998724,28
Stage 9,Advanced Micro Devices,247906.0905848064,india,Retail & Distribution,1,5541.291077566846,Application development and maintenance,2021-03-11 20:20:14.998724,28
Stage 1,Advanced Processing & Imaging,256911.60927878902,north america,Others,1,13369.0,Application development and maintenance,2021-04-14 20:20:14.998724,29
Stage 9,Advanced Processing & Imaging,256911.60927878902,north america,Others,1,13369.0,Application development and maintenance,2021-04-28 20:20:14.998724,29
Stage 1,Advansed Teksyztems,254922.89082233785,UK,BFSI,1,5640.0,Enterprise solution,2020-09-29 20:20:14.998724,30
Stage 9,Advansed Teksyztems,254922.89082233785,UK,BFSI,1,5640.0,Enterprise solution,2020-11-20 20:20:14.998724,30
Stage 1,Aecom,79937.18029638988,north america,Manufacturing,1,23132.394298869254,Asset leverage solutions,2019-11-02 20:20:14.998724,31
Stage 9,Aecom,79937.18029638988,north america,Manufacturing,1,23132.394298869254,Asset leverage solutions,2019-12-31 20:20:14.998724,31
Stage 1,Aes Corporation,57811.13077247744,north america,Media,1,27238.29880867085,Asset leverage solutions,2020-05-09 20:20:14.998724,32
Stage 9,Aes Corporation,57811.13077247744,north america,Media,1,27238.29880867085,Asset leverage solutions,2020-05-17 20:20:14.998724,32
Stage 1,Aetna,88584.0,europe,Hi-Tech,1,9920.44981100429,Assurance services,2020-10-12 20:20:14.998724,33
Stage 2,Aetna,88584.0,europe,Hi-Tech,1,9920.44981100429,Assurance services,2021-03-02 20:20:14.998724,33
Stage 4,Aetna,88584.0,europe,Hi-Tech,1,9920.44981100429,Assurance services,2021-03-13 20:20:14.998724,33
Stage 11,Aetna,88584.0,europe,Hi-Tech,1,9920.44981100429,Assurance services,2021-05-16 20:20:14.998724,33
Stage 1,Affiliated Computer Services,155328.72090571982,north america,BFSI,1,17778.510172942308,Application development and maintenance,2019-12-04 20:20:14.998724,34
Stage 2,Affiliated Computer Services,155328.72090571982,north america,BFSI,1,17778.510172942308,Application development and maintenance,2019-12-15 20:20:14.998724,34
Stage 9,Affiliated Computer Services,155328.72090571982,north america,BFSI,1,17778.510172942308,Application development and maintenance,2020-01-05 20:20:14.998724,34
Stage 1,Affinity Investment Group,41855.20539994597,latin america,Telecom,0,14190.0,Assurance services,2018-08-14 20:20:14.998724,35
Stage 2,Affinity Investment Group,41855.20539994597,latin america,Telecom,0,14190.0,Assurance services,2018-09-07 20:20:14.998724,35
Stage 9,Affinity Investment Group,41855.20539994597,latin america,Telecom,0,14190.0,Assurance services,2019-02-06 20:20:14.998724,35
Stage 1,Afforda,261414.39457830248,europe,Telecom,0,15781.141850767584,Application development and maintenance,2020-10-02 20:20:14.998724,36
Stage 2,Afforda,261414.39457830248,europe,Telecom,0,15781.141850767584,Application development and maintenance,2020-11-15 20:20:14.998724,36
Stage 9,Afforda,261414.39457830248,europe,Telecom,0,15781.141850767584,Application development and maintenance,2020-11-22 20:20:14.998724,36
Stage 1,Afforda Merchant Services,31141.596129657628,middle east and africa,BFSI,1,10388.0,Application development and maintenance,2020-11-26 20:20:14.998724,37
Stage 9,Afforda Merchant Services,31141.596129657628,middle east and africa,BFSI,1,10388.0,Application development and maintenance,2020-11-27 20:20:14.998724,37
Stage 1,Aflac,140028.87654586928,north america,BFSI,1,24598.072125992352,Cognitive Business Operations,2020-11-08 20:20:14.998724,38
Stage 2,Aflac,140028.87654586928,north america,BFSI,1,24598.072125992352,Cognitive Business Operations,2020-11-15 20:20:14.998724,38
Stage 9,Aflac,140028.87654586928,north america,BFSI,1,24598.072125992352,Cognitive Business Operations,2020-11-23 20:20:14.998724,38
Stage 1,Agco,185526.46981653088,india,Telecom,1,8724.331563124351,Application development and maintenance,2020-07-01 20:20:14.998724,39
Stage 2,Agco,185526.46981653088,india,Telecom,1,8724.331563124351,Application development and maintenance,2020-09-23 20:20:14.998724,39
Stage 3,Agco,185526.46981653088,india,Telecom,1,8724.331563124351,Application development and maintenance,2020-10-01 20:20:14.998724,39
Stage 4,Agco,185526.46981653088,india,Telecom,1,8724.331563124351,Application development and maintenance,2021-04-15 20:20:14.998724,39
Stage 11,Agco,185526.46981653088,india,Telecom,1,8724.331563124351,Application development and maintenance,2021-11-26 20:20:14.998724,39
Stage 1,Agilent Technologies,234820.4203455505,north america,Travel and Hospitality,1,20799.189553987813,Cognitive Business Operations,2020-11-06 20:20:14.998724,40
Stage 9,Agilent Technologies,234820.4203455505,north america,Travel and Hospitality,1,20799.189553987813,Cognitive Business Operations,2020-11-09 20:20:14.998724,40
Stage 1,Agl Resources,222198.96867641757,north america,Retail & Distribution,1,12254.026627550447,Application development and maintenance,2018-08-23 20:20:14.998724,41
Stage 9,Agl Resources,222198.96867641757,north america,Retail & Distribution,1,12254.026627550447,Application development and maintenance,2018-10-06 20:20:14.998724,41
Stage 1,Agriprocessors,60886.11031597002,others,Retail & Distribution,1,3330.0,Enterprise solution,2020-08-20 20:20:14.998724,42
Stage 9,Agriprocessors,60886.11031597002,others,Retail & Distribution,1,3330.0,Enterprise solution,2020-12-09 20:20:14.998724,42
Stage 1,Air Products & Chemicals,23625.800915796986,asia-pacific,Healthcare,0,16961.975855539047,Application development and maintenance,2020-02-18 20:20:14.998724,43
Stage 2,Air Products & Chemicals,23625.800915796986,asia-pacific,Healthcare,0,16961.975855539047,Application development and maintenance,2020-03-10 20:20:14.998724,43
Stage 9,Air Products & Chemicals,23625.800915796986,asia-pacific,Healthcare,0,16961.975855539047,Application development and maintenance,2020-08-28 20:20:14.998724,43
Stage 1,Airgas,170886.67493517592,north america,Retail & Distribution,1,4206.51432705356,Engineering and Industrial services,2020-09-28 20:20:14.998724,44
Stage 2,Airgas,170886.67493517592,north america,Retail & Distribution,1,4206.51432705356,Engineering and Industrial services,2020-11-19 20:20:14.998724,44
Stage 9,Airgas,170886.67493517592,north america,Retail & Distribution,1,4206.51432705356,Engineering and Industrial services,2021-01-02 20:20:14.998724,44
Stage 1,Airtran Holdings,117289.33165787479,north america,BFSI,0,24727.856786861263,Assurance services,2020-07-22 20:20:14.998724,45
Stage 9,Airtran Holdings,117289.33165787479,north america,BFSI,0,24727.856786861263,Assurance services,2020-08-11 20:20:14.998724,45
Stage 1,Ak Steel Holding,149959.0,north america,Telecom,1,27396.510519087195,Enterprise solution,2020-08-02 20:20:14.998724,46
Stage 9,Ak Steel Holding,149959.0,north america,Telecom,1,27396.510519087195,Enterprise solution,2020-10-24 20:20:14.998724,46
Stage 1,Alaska Air Group,95941.0,asia-pacific,BFSI,1,24281.791414030795,Application development and maintenance,2021-05-14 20:20:14.998724,47
Stage 2,Alaska Air Group,95941.0,asia-pacific,BFSI,1,24281.791414030795,Application development and maintenance,2021-05-20 20:20:14.998724,47
Stage 1,Albemarle Corporation,179910.508491495,india,Retail & Distribution,1,17325.18980354164,Asset leverage solutions,2020-02-17 20:20:14.998724,48
Stage 9,Albemarle Corporation,179910.508491495,india,Retail & Distribution,1,17325.18980354164,Asset leverage solutions,2020-05-23 20:20:14.998724,48
Stage 1,Albertsons Llc,56301.815374647864,north america,BFSI,0,14720.878110868505,Application development and maintenance,2021-04-19 20:20:14.998724,49
Stage 2,Albertsons Llc,56301.815374647864,north america,BFSI,0,14720.878110868505,Application development and maintenance,2021-05-29 20:20:14.998724,49
Stage 9,Albertsons Llc,56301.815374647864,north america,BFSI,0,14720.878110868505,Application development and maintenance,2021-06-09 20:20:14.998724,49
Stage 1,Alcoa,148040.64332487952,middle east and africa,Retail & Distribution,1,15624.88475610854,Consulting,2021-01-19 20:20:14.998724,50
Stage 9,Alcoa,148040.64332487952,middle east and africa,Retail & Distribution,1,15624.88475610854,Consulting,2021-01-20 20:20:14.998724,50
Stage 1,Aleris International,218215.7835642773,asia-pacific,Hi-Tech,0,11287.432640834126,Application development and maintenance,2020-01-06 20:20:14.998724,51
Stage 2,Aleris International,218215.7835642773,asia-pacific,Hi-Tech,0,11287.432640834126,Application development and maintenance,2020-03-11 20:20:14.998724,51
Stage 3,Aleris International,218215.7835642773,asia-pacific,Hi-Tech,0,11287.432640834126,Application development and maintenance,2020-04-03 20:20:14.998724,51
Stage 4,Aleris International,218215.7835642773,asia-pacific,Hi-Tech,0,11287.432640834126,Application development and maintenance,2020-12-06 20:20:14.998724,51
Stage 11,Aleris International,218215.7835642773,asia-pacific,Hi-Tech,0,11287.432640834126,Application development and maintenance,2021-11-27 20:20:14.998724,51
Stage 1,Alert Alarm Company,143868.0,india,Retail & Distribution,1,6112.015845075895,IT infrastructure services,2021-01-16 20:20:14.998724,52
Stage 9,Alert Alarm Company,143868.0,india,Retail & Distribution,1,6112.015845075895,IT infrastructure services,2021-03-04 20:20:14.998724,52
Stage 1,Alexander & Baldwin,255162.05181655256,north america,Hi-Tech,1,9705.283459894361,Cognitive Business Operations,2020-04-14 20:20:14.998724,53
Stage 2,Alexander & Baldwin,255162.05181655256,north america,Hi-Tech,1,9705.283459894361,Cognitive Business Operations,2020-09-12 20:20:14.998724,53
Stage 3,Alexander & Baldwin,255162.05181655256,north america,Hi-Tech,1,9705.283459894361,Cognitive Business Operations,2020-09-30 20:20:14.998724,53
Stage 4,Alexander & Baldwin,255162.05181655256,north america,Hi-Tech,1,9705.283459894361,Cognitive Business Operations,2020-11-08 20:20:14.998724,53
Stage 11,Alexander & Baldwin,255162.05181655256,north america,Hi-Tech,1,9705.283459894361,Cognitive Business Operations,2021-05-14 20:20:14.998724,53
Stage 1,Alienware,242078.85508484993,north america,Healthcare,1,9947.0,Application development and maintenance,2021-03-29 20:20:14.998724,54
Stage 9,Alienware,242078.85508484993,north america,Healthcare,1,9947.0,Application development and maintenance,2021-04-28 20:20:14.998724,54
Stage 1,Alladin Realty,55700.0,india,Telecom,1,13012.0,Enterprise solution,2020-02-13 20:20:14.998724,55
Stage 9,Alladin Realty,55700.0,india,Telecom,1,13012.0,Enterprise solution,2020-05-24 20:20:14.998724,55
Stage 1,Alladin'S Lamp,128347.33757614995,europe,Manufacturing,1,23966.83797862957,Application development and maintenance,2019-06-01 20:20:14.998724,56
Stage 2,Alladin'S Lamp,128347.33757614995,europe,Manufacturing,1,23966.83797862957,Application development and maintenance,2019-11-22 20:20:14.998724,56
Stage 9,Alladin'S Lamp,128347.33757614995,europe,Manufacturing,1,23966.83797862957,Application development and maintenance,2019-12-24 20:20:14.998724,56
Stage 1,Allegheny Energy,54091.72516489493,north america,Manufacturing,1,18795.383978417558,Application development and maintenance,2021-05-24 20:20:14.998724,57
Stage 7,Allegheny Energy,54091.72516489493,north america,Manufacturing,1,18795.383978417558,Application development and maintenance,2021-06-01 20:20:14.998724,57
Stage 8,Allegheny Energy,54091.72516489493,north america,Manufacturing,1,18795.383978417558,Application development and maintenance,2021-06-03 20:20:14.998724,57
Stage 1,Allegheny Technologies,273005.93164586124,asia-pacific,Media,1,8629.497226122234,Cognitive Business Operations,2021-03-07 20:20:14.998724,58
Stage 2,Allegheny Technologies,273005.93164586124,asia-pacific,Media,1,8629.497226122234,Cognitive Business Operations,2021-05-02 20:20:14.998724,58
Stage 3,Allegheny Technologies,273005.93164586124,asia-pacific,Media,1,8629.497226122234,Cognitive Business Operations,2021-06-12 20:20:14.998724,58
Stage 5,Allegheny Technologies,273005.93164586124,asia-pacific,Media,1,8629.497226122234,Cognitive Business Operations,2021-09-02 20:20:14.998724,58
Stage 6,Allegheny Technologies,273005.93164586124,asia-pacific,Media,1,8629.497226122234,Cognitive Business Operations,2021-11-07 20:20:14.998724,58
Stage 1,Allen Organ Company,108434.7925743173,middle east and africa,Media,0,11248.985238301466,Application development and maintenance,2020-01-01 20:20:14.998724,59
Stage 9,Allen Organ Company,108434.7925743173,middle east and africa,Media,0,11248.985238301466,Application development and maintenance,2020-01-03 20:20:14.998724,59
Stage 1,Allergan,245893.59478087127,north america,Others,1,9997.0,Application development and maintenance,2020-11-29 20:20:14.998724,60
Stage 3,Allergan,245893.59478087127,north america,Others,1,9997.0,Application development and maintenance,2021-04-16 20:20:14.998724,60
Stage 4,Allergan,245893.59478087127,north america,Others,1,9997.0,Application development and maintenance,2021-08-26 20:20:14.998724,60
Stage 5,Allergan,245893.59478087127,north america,Others,1,9997.0,Application development and maintenance,2021-10-22 20:20:14.998724,60
Stage 6,Allergan,245893.59478087127,north america,Others,1,9997.0,Application development and maintenance,2021-11-27 20:20:14.998724,60
Stage 9,Allergan,245893.59478087127,north america,Others,1,9997.0,Application development and maintenance,2021-12-06 20:20:14.998724,60
Stage 1,Alliant Energy,20356.833234001446,others,Travel and Hospitality,1,11109.112395183234,Application development and maintenance,2021-04-07 20:20:14.998724,61
Stage 9,Alliant Energy,20356.833234001446,others,Travel and Hospitality,1,11109.112395183234,Application development and maintenance,2021-04-25 20:20:14.998724,61
Stage 1,Alliant Techsystems,102888.0,north america,Telecom,1,7641.0,IT infrastructure services,2020-12-03 20:20:14.998724,62
Stage 2,Alliant Techsystems,102888.0,north america,Telecom,1,7641.0,IT infrastructure services,2021-02-18 20:20:14.998724,62
Stage 9,Alliant Techsystems,102888.0,north america,Telecom,1,7641.0,IT infrastructure services,2021-02-28 20:20:14.998724,62
Stage 1,Allstate,98134.9813224014,latin america,Travel and Hospitality,1,16642.626609711562,Engineering and Industrial services,2021-03-28 20:20:14.998724,63
Stage 3,Allstate,98134.9813224014,latin america,Travel and Hospitality,1,16642.626609711562,Engineering and Industrial services,2021-04-08 20:20:14.998724,63
Stage 4,Allstate,98134.9813224014,latin america,Travel and Hospitality,1,16642.626609711562,Engineering and Industrial services,2021-04-14 20:20:14.998724,63
Stage 1,Aloha Airlines,122233.0,UK,Retail & Distribution,0,3197.0,Automation and AI,2020-10-08 20:20:14.998724,64
Stage 9,Aloha Airlines,122233.0,UK,Retail & Distribution,0,3197.0,Automation and AI,2020-11-05 20:20:14.998724,64
Stage 1,Altec Lansing,57457.69374597544,others,BFSI,1,10097.163075390592,Automation and AI,2020-06-09 20:20:14.998724,65
Stage 9,Altec Lansing,57457.69374597544,others,BFSI,1,10097.163075390592,Automation and AI,2020-08-02 20:20:14.998724,65
Stage 1,Altria Group (Formerly Philip Morris Companies),66641.0,others,BFSI,1,18081.840210559254,Cognitive Business Operations,2018-06-11 20:20:14.998724,66
Stage 9,Altria Group (Formerly Philip Morris Companies),66641.0,others,BFSI,1,18081.840210559254,Cognitive Business Operations,2019-04-09 20:20:14.998724,66
Stage 1,Always (Product),206998.62206067922,india,Manufacturing,1,5823.827164967641,Application development and maintenance,2019-12-01 20:20:14.998724,67
Stage 9,Always (Product),206998.62206067922,india,Manufacturing,1,5823.827164967641,Application development and maintenance,2020-10-07 20:20:14.998724,67
Stage 1,Amazon.Com,168000.0371852442,north america,Telecom,1,10847.46369557002,Cloud Infrastructure,2021-04-28 20:20:14.998724,68
Stage 12,Amazon.Com,168000.0371852442,north america,Telecom,1,10847.46369557002,Cloud Infrastructure,2021-04-29 20:20:14.998724,68
Stage 1,Amc Entertainment,266112.294919282,north america,BFSI,0,15923.895301471797,Application development and maintenance,2019-04-08 20:20:14.998724,69
Stage 2,Amc Entertainment,266112.294919282,north america,BFSI,0,15923.895301471797,Application development and maintenance,2019-04-24 20:20:14.998724,69
Stage 9,Amc Entertainment,266112.294919282,north america,BFSI,0,15923.895301471797,Application development and maintenance,2019-07-30 20:20:14.998724,69
Stage 1,Ameren,273289.7565628358,north america,BFSI,1,7810.0,Automation and AI,2021-02-25 20:20:14.998724,70
Stage 9,Ameren,273289.7565628358,north america,BFSI,1,7810.0,Automation and AI,2021-05-27 20:20:14.998724,70
Stage 1,America Online,113965.15436425176,north america,BFSI,1,13160.0,IT infrastructure services,2020-01-20 20:20:14.998724,71
Stage 2,America Online,113965.15436425176,north america,BFSI,1,13160.0,IT infrastructure services,2020-02-06 20:20:14.998724,71
Stage 3,America Online,113965.15436425176,north america,BFSI,1,13160.0,IT infrastructure services,2020-03-12 20:20:14.998724,71
Stage 9,America Online,113965.15436425176,north america,BFSI,1,13160.0,IT infrastructure services,2020-03-26 20:20:14.998724,71
Stage 1,American Airlines,142063.8743014838,north america,BFSI,1,3474.0,Engineering and Industrial services,2020-09-23 20:20:14.998724,72
Stage 9,American Airlines,142063.8743014838,north america,BFSI,1,3474.0,Engineering and Industrial services,2021-04-09 20:20:14.998724,72
Stage 1,American Apparel,166257.59585590637,asia-pacific,Hi-Tech,0,3153.0,Application development and maintenance,2018-11-19 20:20:14.998724,73
Stage 9,American Apparel,166257.59585590637,asia-pacific,Hi-Tech,0,3153.0,Application development and maintenance,2019-01-08 20:20:14.998724,73
Stage 1,American Axle,151138.33076476384,north america,BFSI,1,16427.13608435479,Application development and maintenance,2021-05-09 20:20:14.998724,74
